태풍번호,태풍명,영문명,진행여부,영향도,발생,소멸,비고
1,말라카스,MALAKAS,종료,없음,2022.04.08 09:00,2022.04.16 03:00,제1호 태풍 말라카스(MALAKAS)는 필리핀에서 제출한 이름으로 강력함을 의미함.
2,메기,MEGI,종료,없음,2022.04.10 09:00,2022.04.12 09:00,제2호 태풍 메기(MEGI)는 한국에서 제출한 이름으로 메기를 의미함.
3,차바,CHABA,종료,없음,2022.06.30 09:00,2022.07.03 15:00,제3호 태풍 차바(CHABA)는 태국에서 제출한 이름으로 꽃의 한 종류임.
4,에어리,AERE,종료,직접영향,2022.07.01 09:00,2022.07.05 03:00,제4호 태풍 에어리(AERE)는 미국에서 제출한 이름으로 폭풍을 의미함.
5,송다,SONGDA,종료,직접영향,2022.07.28 21:00,2022.08.01 03:00,제5호 태풍 송다(SONGDA)는 베트남에서 제출한 이름으로 강의 이름임.
6,트라세,TRASES,종료,직접영향,2022.07.31 12:00,2022.08.01 09:00,제6호 태풍 트라세(TRASES)는 캄보디아에서 제출한 이름으로 딱따구리를 의미함.
7,무란,MULAN,종료,없음,2022.08.09 15:00,2022.08.11 09:00,제7호 태풍 무란(MULAN)은 중국에서 제출한 이름으로 목란을 의미함.
8,메아리,MEARI,종료,없음,2022.08.12 03:00,2022.08.14 21:00,제8호 태풍 메아리(MEARI)는 북한에서 제출한 이름으로 메아리를 의미함.
9,망온,MA-ON,종료,없음,2022.08.22 12:00,2022.08.26 03:00,제9호 태풍 망온(MA-ON)은 홍콩에서 제출한 이름으로 말안장을 의미함.
10,도카게,TOKAGE,종료,없음,2022.08.22 12:00,2022.08.25 21:00,제10호 태풍 도카게(TOKAGE)는 일본에서 제출한 이름으로 도마뱀자리(별자리)를 의미함.
11,힌남노,HINNAMNOR,종료,상륙,2022.08.28 21:00,2022.09.06 21:00,제11호 태풍 힌남노(HINNAMNOR)는 라오스에서 제출한 이름으로 국립보호구역의 이름임.
12,무이파,MUIFA,종료,없음,2022.09.08 09:00,2022.09.16 09:00,제12호 태풍 무이파(MUIFA)는 마카오에서 제출한 이름으로 매화를 의미함.
13,므르복,MERBOK,종료,없음,2022.09.12 09:00,2022.09.15 15:00,제13호 태풍 므르복(MERBOK)은 말레이시아에서 제출한 이름으로 점박이목 비둘기를 의미함.
14,난마돌,NANMADOL,종료,직접영향,2022.09.14 03:00,2022.09.20 09:00,제14호 태풍 난마돌(NANMADOL)은 미크로네시아에서 제출한 이름으로 유명한 유적지의 이름임.
15,탈라스,TALAS,종료,없음,2022.09.23 09:00,2022.09.24 03:00,제15호 태풍 탈라스(TALAS)는 필리핀에서 제출한 이름으로 날카로움을 의미함.
16,노루,NORU,종료,없음,2022.09.23 15:00,2022.09.28 21:00,제16호 태풍 노루(NORU)는 한국에서 제출한 이름으로 노루를 의미함.
17,꿀랍,KULAP,종료,없음,2022.09.26 09:00,2022.09.29 15:00,제17호 태풍 꿀랍(KULAP)은 태국에서 제출한 이름으로 장미를 의미함.
18,로키,ROKE,종료,없음,2022.09.28 21:00,2022.10.02 03:00,제18호 태풍 로키(ROKE)는 미국에서 제출한 이름으로 남자의 이름임.
19,선까,SONCA,종료,없음,2022.10.14 15:00,2022.10.15 09:00,제19호 태풍 선까(SONCA)는 베트남에서 제출한 이름으로 새의 한 종류임.
20,네삿,NESAT,종료,없음,2022.10.15 15:00,2022.10.20 15:00,제20호 태풍 네삿(NESAT)은 캄보디아에서 제출한 이름으로 낚시를 의미함.
21,하이탕,HAITANG,종료,없음,2022.10.18 15:00,2022.10.19 21:00,제21호 태풍 하이탕(HAITANG)은 중국에서 제출한 이름으로 해당화를 의미함.
22,날개,NALGAE,종료,없음,2022.10.27 09:00,2022.11.03 09:00,제22호 태풍 날개(NALGAE)는 북한에서 제출한 이름으로 날개를 의미함.
23,바냔,BANYAN,종료,없음,2022.10.31 12:00,2022.11.01 09:00,제23호 태풍 바냔(BANYAN)은 홍콩에서 제출한 이름으로 나무의 한 종류임.
24,야마네코,YAMANEKO,종료,없음,2022.11.12 21:00,2022.11.14 15:00,제24호 태풍 야마네코(YAMANEKO)는 일본에서 제출한 이름으로 살쾡이자리(별자리)를 의미함.
25,파카르,PAKHAR,종료,없음,2022.12.11 21:00,2022.12.13 03:00,제25호 태풍 파카르(PAKHAR)는 라오스에서 제출한 이름으로 메콩강에 서식하는 민물고기 중 하나임.
